Country Code,Country Name,Region,IncomeGroup,SpecialNotes,population_total,population_total_year,gdp_pc_ppp,gdp_pc_ppp_year,gdp_growth,gdp_growth_year,trade_gdp,trade_gdp_year,services_share,services_share_year,urban_share,urban_share_year,internet_users,internet_users_year,tertiary_enrollment,tertiary_enrollment_year,gov_effectiveness,gov_effectiveness_year,rule_of_law,rule_of_law_year,reg_quality,reg_quality_year,pol_stability,pol_stability_year,price_level_index,price_level_index_year,cohort_1519,cohort_1519_year,cohort_2024,cohort_2024_year,cohort_2529,cohort_2529_year,student_pool,student_pool_year,student_pool_2026,student_pool_2035,student_pool_2050,population_total_2026,population_total_2035,population_total_2050,student_pool_growth_2026_2035_pct,student_pool_growth_2026_2050_pct,student_share_2026_pct,student_share_2050_pct,is_unfriendly,has_existing_mgimo_branch,is_domestic_russia,is_non_sovereign_or_special,eligible,eligibility_reason,data_coverage_pct,demo_score,education_score,economy_score,operations_score,target_tuition_usd,price_level_multiplier,compact_capex_usd_mn,compact_opex_usd_mn,compact_breakeven_students,compact_capex_rub_mn,compact_opex_rub_mn,standard_capex_usd_mn,standard_opex_usd_mn,standard_breakeven_students,standard_capex_rub_mn,standard_opex_rub_mn,campus_capex_usd_mn,campus_opex_usd_mn,campus_breakeven_students,campus_capex_rub_mn,campus_opex_rub_mn,finance_score
ARE,United Arab Emirates,Middle East & North Africa,High income,,10986400.0,2024,69701.80479835454,2024.0,3.991807054853979,2024.0,199.0449792375464,2023.0,54.9012947560482,2024.0,85.8171088279791,2024,100.0,2024.0,63.7384451086316,2024.0,11.229973316192613,2023.0,6.173300921916961,2023.0,7.29673993587497,2023.0,4.742716610431675,2023.0,63.45362403544152,2024.0,500917.98690302833,2024,916131.2002426016,2024,1450958.9761033885,2024,2069980.7263921543,2024,2149474.4100077306,2546708.1444229707,2927947.392894231,11632009.361755392,15040135.711455952,18594201.30443822,18.480505400099712,36.216899315572704,18.47896045437288,15.746561763829908,False,False,False,False,True,,100.0,75.97868869887083,85.98690883916137,82.56497396952359,88.99322751195908,12546.324863703816,0.6345362403544152,2.592165232637948,0.8259021802658114,66.0,190.11872995650452,60.57463914854356,6.105413081594868,1.5652579845670644,125.0,447.7929748912613,114.80165551689294,17.414434884252984,4.055413081594868,323.0,1277.2373463766971,297.43859489126135,60.1118940699569
SAU,Saudi Arabia,Middle East & North Africa,High income,,35300280.0,2024,62792.77414763707,2024.0,1.996501734361587,2024.0,54.67870526687325,2024.0,47.07456035542807,2024.0,84.4554020211443,2024,100.0,2024.0,83.884129573915,2024.0,5.575087547302245,2023.0,2.901995867490769,2023.0,3.619496226310727,2023.0,-1.492571711540224,2023.0,49.20697643511707,2024.0,2531669.6602893127,2024,2687994.286769106,2024,3563746.9613806587,2024,6823350.079679715,2024,7017385.782960276,7961135.164149521,8830309.07797864,37058758.18065563,46120931.11135688,55234260.72734543,13.448731627109222,25.834738905484333,18.935836297459357,15.98701414972849,False,False,False,False,True,,100.0,86.5369347529382,96.961810962847,53.401912614264845,66.69799456477176,11302.699346574673,0.4920697643511707,2.3357255758321074,0.7190523232633781,64.0,171.31052234359973,52.737885976499896,5.4643139395802685,1.3373116229618731,118.0,400.77245585899936,98.08324874986644,15.704837172214049,3.4143139395802686,302.0,1151.8492956239982,250.41807585899937,75.00431804518047
MYS,Malaysia,East Asia & Pacific,Upper middle income,,35557673.0,2024,34116.23178488853,2024.0,5.105459210240412,2024.0,137.3625711615591,2024.0,53.72030050186682,2024.0,76.9170296648992,2024,98.0206059,2024.0,38.5013945445142,2024.0,6.127587676048279,2023.0,4.003408133983616,2023.0,4.626259922981263,2023.0,1.17960289120674,2023.0,30.620543847812748,2024.0,2808157.9602164226,2024,3112088.956607882,2024,3150632.4573924807,2024,7338031.522650921,2024,7370573.29315381,7518806.388115466,7642222.832983172,36413236.09640237,40525280.63087257,44244006.99341678,2.011147424574733,3.685595801369801,20.24146734346971,17.272899432730597,False,False,False,False,True,,100.0,80.30363826923974,68.49773994983515,75.43889237842421,73.5116261292548,6140.921721279935,0.3062054384781275,2.0011697892606297,0.5796540788585955,94.0,146.77299655561592,42.513916898173285,4.627924473151573,1.039928701565004,169.0,339.4286413890397,76.27211471610303,13.474465261737532,2.5779244731515734,420.0,988.2657903707728,189.0742613890397,93.82288514152084
TUR,Türkiye,Europe & Central Asia,Upper middle income,,85518661.0,2024,36154.49043655701,2024.0,3.327623089379898,2024.0,54.59880611959156,2024.0,57.52127735801306,2024.0,89.3443122873887,2024,89.77024003,2025.0,105.88606262207,2023.0,-1.735381111502647,2023.0,-3.583810329437255,2023.0,-1.606571525335315,2023.0,-7.07756268978122,2023.0,35.22092896754028,2024.0,6141428.975020183,2024,6422570.953289445,2024,6730521.039463475,2024,15592734.396068191,2024,15479225.709568392,14978575.59081826,14582115.941243902,86805775.38836305,92841767.23930928,98098116.3401194,-3.234335671200006,-5.7955726284806826,17.832022858289562,14.864827669764566,False,False,False,False,True,,100.0,84.19870439879409,95.59385725113412,56.33237949978931,32.22201765794586,6507.808278580261,0.3522092896754028,2.083976721415725,0.6141569672565521,94.0,152.84635506482638,45.04448294367765,4.834941803539313,1.1135348634806446,171.0,354.6120376620659,81.670655613179,14.026511476104837,2.7849418035393128,428.0,1028.7548470988424,204.25765766206592,87.72505168706981
THA,Thailand,East Asia & Pacific,Upper middle income,Fiscal year end: September 30; reporting period for national accounts data: CY.,71668011.0,2024,21740.540321926088,2024.0,2.541820677352888,2024.0,136.7471070224512,2024.0,59.1528957274226,2024.0,61.8689338391321,2024,90.86718789,2024.0,49.0776442074561,2025.0,1.2019406855106352,2023.0,1.7141092419624324,2023.0,1.107804477214813,2023.0,-1.962120175361633,2023.0,29.728879259959427,2024.0,4291598.500000002,2024,4644010.5,2024,5071495.499999999,2024,11217781.975,2024,10995029.23694813,10046126.89730656,9334529.14019037,71878630.64588538,72834105.16647708,73624568.84322481,-8.630284824098899,-15.102279957362462,15.296659296579868,12.678551856877007,False,False,False,False,True,,100.0,79.06806548986802,67.57380167536587,62.0750538086685,53.75709426405598,3913.297257946696,0.2972887925995943,1.9851198266792696,0.5729665944496957,146.0,145.5958345200337,42.023432716680695,4.587799566698174,1.025662068159351,262.0,336.48573630008417,75.22574846225217,13.367465511195132,2.5377995666981743,649.0,980.4180434668912,186.1313563000842,79.70318760463894
CHN,China,East Asia & Pacific,Upper middle income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1408975000.0,2024,23845.619721725907,2024.0,4.9773565917572,2024.0,37.19842013880647,2024.0,56.74834174178266,2024.0,65.8946980998325,2024,91.6,2025.0,76.8757843123403,2024.0,4.753098189830781,2023.0,-0.2809097953140738,2023.0,-2.495554655790329,2023.0,-3.5916793346405025,2023.0,49.08028713281475,2024.0,82516124.90194999,2024,78840327.23820603,2024,83853836.42073934,2024,199090678.52948877,2024,194194459.52415377,173609474.5546623,158488492.04793045,1413112798.7664812,1431883786.1183715,1447412878.6472657,-10.600191694413985,-18.38670761447869,13.742318355170788,10.949777660956828,False,False,False,False,True,,100.0,80.63728386917245,85.3761067227097,54.33066431129144,50.28081165567356,4292.211549910663,0.4908028713281475,2.3334451683906656,0.7181021534961106,167.0,171.1432690523776,52.66819710515733,5.458612920976664,1.3352845941250362,311.0,400.35432263094407,97.934579157669,15.689634455937773,3.408612920976664,794.0,1150.7342736825174,249.999942630944,50.92422005891512
CHL,Chile,Latin America & Caribbean,High income,,19764771.0,2024,30182.78712247137,2024.0,2.644311548715379,2024.0,63.85985724806601,2024.0,56.077469183556886,2024.0,88.9950908479196,2024,95.590243,2024.0,110.176902770996,2024.0,5.02289032936096,2023.0,4.3756563067436245,2023.0,6.480122029781343,2023.0,0.95311959087849,2023.0,46.18395584786256,2024.0,1214115.4685083523,2024,1328579.465724862,2024,1544435.9602583442,2024,3237691.11634947,2024,3185687.914405413,2961818.1644386263,2791140.4070915743,20033623.74120425,21289442.063495755,22376401.440269083,-7.02735974087314,-12.385001855634648,15.901705829950446,12.473589261178406,False,False,False,False,True,,100.0,65.56568061358033,98.2272090869306,52.25342066505725,74.43969363001621,5432.901682044847,0.4618395584786256,2.281311205261526,0.6963796688589692,128.0,167.31957651421925,51.074991880924685,5.328278013153815,1.2889432935658012,237.0,390.7950912855481,94.5357413459727,15.342074701743508,3.278278013153815,603.0,1125.242990094795,240.44071128554813,63.59449872919801
ARG,Argentina,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",45696159.0,2024,26771.96576505708,2024.0,-1.342930721577389,2024.0,27.929760849367003,2024.0,53.651404605042416,2024.0,92.2742315972952,2024,89.66715228,2024.0,107.822574129434,2023.0,-2.642621397972108,2023.0,-2.8757857382297543,2023.0,-3.3777477443218253,2023.0,-0.8926253616809829,2023.0,45.906131922592486,2024.0,3555334.002709577,2024,3465155.5022420487,2024,3490723.002024179,2024,8591314.855862506,2024,8613236.767870747,8712579.653138397,8794630.52619649,46089170.6279269,47899973.81217037,49434514.06734821,1.1533746017318602,2.105988297017225,18.688200830091983,17.79046622004806,False,False,False,False,True,,100.0,81.62009932884526,96.4616608399042,34.078401154944096,36.21390600846972,4818.9538377102745,0.4590613192259248,2.276310374606665,0.6942959894194436,144.0,166.95279759100137,50.9221673295839,5.315775936516662,1.28449811076148,267.0,389.8781439775034,94.20971563644568,15.3087358307111,3.265775936516662,678.0,1122.7977972733424,239.52376397750345,59.75791343701488
VNM,Viet Nam,East Asia & Pacific,Lower middle income,,100987686.0,2024,14415.215953281288,2024.0,7.091187466339747,2024.0,173.86202478296536,2024.0,42.35960253246238,2024.0,38.4900703430176,2024,84.15,2024.0,37.5923642016718,2024.0,0.8852683007717149,2023.0,-0.5983031317591665,2023.0,-2.678254097700118,2023.0,-0.2546651400625702,2023.0,28.789407706409914,2024.0,7311008.962661656,2024,6471030.967152298,2024,6708628.466036053,2024,16800922.73953018,2024,16544428.68978428,15437808.701848531,14591208.409059668,102552588.63909228,109900218.45694973,116310789.0039854,-6.6887772837937565,-11.805909514002554,16.13262903387859,12.545017133844476,False,False,False,False,True,,100.0,82.49867201904091,50.40388394961495,65.40037359759106,46.87465671483727,3000.0,0.2878940770640991,1.9682093387153785,0.5659205577980744,189.0,144.35555845500522,41.506651022918845,4.545523346788446,1.0106305233025588,337.0,333.38504613751303,74.12328084889354,13.25472892476919,2.4955233467884463,832.0,972.1495363667016,183.0306661375131,72.13293069531694
PHL,Philippines,East Asia & Pacific,Lower middle income,,115843670.0,2024,10375.940417993756,2024.0,5.692016128234116,2024.0,65.88547252869684,2024.0,63.22349522199786,2024.0,55.4520983215477,2024,67.26300914,2024.0,47.4134996154186,2024.0,1.0786433666944528,2023.0,-2.92702981829643,2023.0,1.14978474378586,2023.0,-3.962353289127353,2023.0,33.786544563018175,2024.0,11295678.549508087,2024,10745529.046776118,2024,10243621.044587836,2024,26650837.06634873,2024,27036270.04302288,28840874.32137284,30408497.3922274,117968974.66917704,128025812.60263912,136905796.11124694,6.6747531204500055,12.47297553929696,22.918119038366893,22.21125639378924,False,False,False,False,True,,100.0,89.36598936265615,53.47407274504732,53.7925598957116,45.167961887244765,3000.0,0.3378654456301817,2.0581578021343274,0.6033990842226362,201.0,150.95270257661926,44.25546107359134,4.770394505335817,1.0905847130082909,364.0,349.877906441548,79.98740895699487,13.854385347562182,2.7203945053358174,907.0,1016.1304971774616,199.52352644154803,63.18747451081971
