iso3,country,model,student_attraction_index,rank_practical_student_recruitment,rank_reference_all,student_recruitment_status
NPL,Nepal,SAI_MGIMO_V3,60.0050931284797,66.0,66.0,practical_priority_pool
GNB,Guinea-Bissau,SAI_MGIMO_V3,59.92934147039337,67.0,67.0,practical_priority_pool
BTN,Bhutan,SAI_MGIMO_V3,59.73562139172097,68.0,68.0,practical_priority_pool
TGO,Togo,SAI_MGIMO_V3,59.66808935729687,69.0,69.0,practical_priority_pool
ECU,Ecuador,SAI_MGIMO_V3,59.32890819927359,70.0,70.0,practical_priority_pool
COM,Comoros,SAI_MGIMO_V3,59.02439759707752,71.0,71.0,practical_priority_pool
LBY,Libya,SAI_MGIMO_V3,58.80744580525983,72.0,72.0,practical_priority_pool
VEN,"Venezuela, RB",SAI_MGIMO_V3,58.70548349779862,73.0,73.0,practical_priority_pool
DOM,Dominican Republic,SAI_MGIMO_V3,58.54967003897246,74.0,74.0,practical_priority_pool
SLE,Sierra Leone,SAI_MGIMO_V3,58.43873783853953,75.0,75.0,practical_priority_pool
CHL,Chile,SAI_MGIMO_V3,58.36937561013145,76.0,76.0,practical_priority_pool
GMB,"Gambia, The",SAI_MGIMO_V3,58.13939467216896,77.0,77.0,practical_priority_pool
KHM,Cambodia,SAI_MGIMO_V3,57.7316915756736,78.0,78.0,practical_priority_pool
AZE,Azerbaijan,SAI_MGIMO_V3,57.60055040313408,79.0,79.0,practical_priority_pool
PAN,Panama,SAI_MGIMO_V3,57.22886766423547,80.0,80.0,practical_priority_pool
MMR,Myanmar,SAI_MGIMO_V3,57.12131240277243,81.0,81.0,practical_priority_pool
HND,Honduras,SAI_MGIMO_V3,56.97180232951352,82.0,82.0,practical_priority_pool
KGZ,Kyrgyz Republic,SAI_MGIMO_V3,56.87596013605104,83.0,83.0,practical_priority_pool
ERI,Eritrea,SAI_MGIMO_V3,56.73293729388368,84.0,84.0,practical_priority_pool
LBR,Liberia,SAI_MGIMO_V3,56.14202600322755,85.0,85.0,practical_priority_pool
BHR,Bahrain,SAI_MGIMO_V3,55.80431512851591,86.0,86.0,practical_priority_pool
TUN,Tunisia,SAI_MGIMO_V3,55.63102657709776,87.0,87.0,practical_priority_pool
TJK,Tajikistan,SAI_MGIMO_V3,55.38358072226755,88.0,88.0,practical_priority_pool
SYC,Seychelles,SAI_MGIMO_V3,55.32323222529823,89.0,89.0,practical_priority_pool
LAO,Lao PDR,SAI_MGIMO_V3,55.27030059333711,90.0,90.0,practical_priority_pool
CAF,Central African Republic,SAI_MGIMO_V3,55.09474971092685,91.0,91.0,practical_priority_pool
SUR,Suriname,SAI_MGIMO_V3,55.09356494252049,92.0,92.0,practical_priority_pool
SWZ,Eswatini,SAI_MGIMO_V3,54.733585886646495,93.0,93.0,practical_priority_pool
TTO,Trinidad and Tobago,SAI_MGIMO_V3,54.68464579507378,94.0,94.0,practical_priority_pool
GUY,Guyana,SAI_MGIMO_V3,54.5623811626248,95.0,95.0,practical_priority_pool
VUT,Vanuatu,SAI_MGIMO_V3,54.064260907203895,96.0,96.0,practical_priority_pool
PRY,Paraguay,SAI_MGIMO_V3,54.05063065953552,97.0,97.0,practical_priority_pool
BWA,Botswana,SAI_MGIMO_V3,53.74219040629128,98.0,98.0,practical_priority_pool
BLR,Belarus,SAI_MGIMO_V3,53.55846319182472,99.0,99.0,practical_priority_pool
MNG,Mongolia,SAI_MGIMO_V3,53.45287214236417,100.0,100.0,practical_priority_pool
NAM,Namibia,SAI_MGIMO_V3,53.181446107025565,101.0,101.0,practical_priority_pool
CRI,Costa Rica,SAI_MGIMO_V3,53.00423103465268,102.0,102.0,practical_priority_pool
LBN,Lebanon,SAI_MGIMO_V3,52.86851285776788,103.0,103.0,practical_priority_pool
NIC,Nicaragua,SAI_MGIMO_V3,52.85908820515169,104.0,104.0,practical_priority_pool
STP,São Tomé and Principe,SAI_MGIMO_V3,52.73500991984072,105.0,105.0,practical_priority_pool
SRB,Serbia,SAI_MGIMO_V3,52.45180387223501,106.0,106.0,practical_priority_pool
URY,Uruguay,SAI_MGIMO_V3,52.17317471063652,107.0,107.0,practical_priority_pool
QAT,Qatar,SAI_MGIMO_V3,51.93804662986058,108.0,108.0,practical_priority_pool
PRK,"Korea, Dem. People's Rep.",SAI_MGIMO_V3,51.674616841973055,109.0,109.0,practical_priority_pool
CUB,Cuba,SAI_MGIMO_V3,51.47416959897838,110.0,110.0,practical_priority_pool
GEO,Georgia,SAI_MGIMO_V3,51.02366496697995,111.0,111.0,practical_priority_pool
TLS,Timor-Leste,SAI_MGIMO_V3,50.57169181716797,112.0,112.0,practical_priority_pool
SLV,El Salvador,SAI_MGIMO_V3,50.46264858909443,113.0,113.0,practical_priority_pool
LSO,Lesotho,SAI_MGIMO_V3,50.29682910529296,114.0,114.0,practical_priority_pool
BIH,Bosnia and Herzegovina,SAI_MGIMO_V3,50.12090168469185,115.0,115.0,practical_priority_pool
MDA,Moldova,SAI_MGIMO_V3,49.61985101259896,116.0,116.0,practical_priority_pool
MUS,Mauritius,SAI_MGIMO_V3,49.09368196074018,117.0,117.0,practical_priority_pool
ARM,Armenia,SAI_MGIMO_V3,48.73355166600452,118.0,118.0,practical_priority_pool
BRN,Brunei Darussalam,SAI_MGIMO_V3,48.66040160783481,119.0,119.0,practical_priority_pool
BLZ,Belize,SAI_MGIMO_V3,47.737934072901176,120.0,120.0,practical_priority_pool
JAM,Jamaica,SAI_MGIMO_V3,47.01837178781363,121.0,121.0,practical_priority_pool
CPV,Cabo Verde,SAI_MGIMO_V3,46.94077442106004,122.0,122.0,practical_priority_pool
WSM,Samoa,SAI_MGIMO_V3,46.73058550863279,123.0,123.0,practical_priority_pool
FJI,Fiji,SAI_MGIMO_V3,45.39075820868347,124.0,124.0,practical_priority_pool
MDV,Maldives,SAI_MGIMO_V3,44.683392757178304,125.0,125.0,practical_priority_pool
LCA,St. Lucia,SAI_MGIMO_V3,44.41381742582888,126.0,126.0,practical_priority_pool
ATG,Antigua and Barbuda,SAI_MGIMO_V3,43.14694631856504,127.0,127.0,practical_priority_pool
BRB,Barbados,SAI_MGIMO_V3,42.703120272174985,128.0,128.0,practical_priority_pool
TON,Tonga,SAI_MGIMO_V3,42.67322255842612,129.0,129.0,practical_priority_pool
VCT,St. Vincent and the Grenadines,SAI_MGIMO_V3,39.75550358999639,130.0,130.0,practical_priority_pool
GRD,Grenada,SAI_MGIMO_V3,34.585157711899,131.0,131.0,practical_priority_pool
MHL,Marshall Islands,SAI_MGIMO_V3,34.315875640680936,132.0,132.0,practical_priority_pool
KNA,St. Kitts and Nevis,SAI_MGIMO_V3,32.7771359031363,133.0,133.0,practical_priority_pool
PLW,Palau,SAI_MGIMO_V3,31.48015098273448,134.0,134.0,practical_priority_pool
ALB,Albania,SAI_MGIMO_V3,,,,unfriendly_reference_only
ASM,American Samoa,SAI_MGIMO_V3,,,,special_territory_reference_only
AND,Andorra,SAI_MGIMO_V3,,,,unfriendly_reference_only
ABW,Aruba,SAI_MGIMO_V3,,,,special_territory_reference_only
AUS,Australia,SAI_MGIMO_V3,,,,unfriendly_reference_only
AUT,Austria,SAI_MGIMO_V3,,,,unfriendly_reference_only
BHS,"Bahamas, The",SAI_MGIMO_V3,,,,unfriendly_reference_only
BEL,Belgium,SAI_MGIMO_V3,,,,unfriendly_reference_only
BMU,Bermuda,SAI_MGIMO_V3,,,,unfriendly_reference_only
BOL,Bolivia,SAI_MGIMO_V3,,,,data_unavailable
