origin_iso3,origin_country,region,origin_lat,origin_lon,destination_city,destination_lat,destination_lon,flow_type,modelled_potential_index,stroke_width,SAI_MGIMO_V3_SCORE,rank_practical_student_recruitment,student_recruitment_status,due_diligence_warnings,source,year
KWT,Kuwait,Middle East & North Africa,29.413628,47.313999,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,60.0986683296192,2.0623187057460513,65.92862822399222,26,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
GHA,Ghana,Sub-Saharan Africa,7.717639,-1.036941,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.70501546902157,2.288067863522007,65.75291399365472,27,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
CMR,Cameroon,Sub-Saharan Africa,4.585041,12.473488,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.1034459221342,2.273930979170154,65.64323238615921,28,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BRA,Brazil,Latin America & Caribbean,-12.098687,-49.55945,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,75.13137582898686,2.4155873319811914,65.46024420692619,29,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
NER,Niger,Sub-Saharan Africa,17.446195,9.504356,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.81430315778017,2.267136124207834,65.45871155414818,30,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
GAB,Gabon,Sub-Saharan Africa,-0.437739,11.835939,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,59.07024855795212,2.0381508411118747,65.40324889333678,31,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
VNM,Viet Nam,East Asia & Pacific,21.715416,105.387292,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,72.10780261937641,2.344533361555346,65.18194912428332,32,in_preparation_but_ranked,,student_attraction_v3.csv,latest open indicators
BGD,Bangladesh,South Asia,24.214956,89.684963,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,74.92942973911435,2.410841598869187,65.1797635265477,33,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
CHN,China,East Asia & Pacific,32.498178,106.337289,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,74.89540422065204,2.410041999185323,65.13250586201673,34,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
SYR,Syrian Arab Republic,Middle East & North Africa,35.006636,38.277783,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.73905496986839,2.2653677917919075,65.11820499438011,35,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ISR,Israel,Middle East & North Africa,30.911148,34.847915,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,63.38508430763103,2.1395494812293294,65.06209061573888,36,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
COG,"Congo, Rep.",Sub-Saharan Africa,0.142331,15.9005,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,62.6374555000991,2.121980204252329,64.97943902554864,37,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
JOR,Jordan,Middle East & North Africa,30.805025,36.375991,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,64.47441473369815,2.165148746241907,64.52757121725271,38,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
KAZ,Kazakhstan,Europe & Central Asia,49.054149,68.685548,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,65.52829294847339,2.1899148842891245,64.50898095731968,39,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ZMB,Zambia,Sub-Saharan Africa,-14.660804,26.395298,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,67.13321626957082,2.2276305823349145,64.34883111260079,40,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
AFG,Afghanistan,Middle East & North Africa,34.164262,66.496586,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.68451594218924,2.287586124641447,64.06633138808587,41,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ZWE,Zimbabwe,Sub-Saharan Africa,-18.91164,29.925444,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,65.94295575421624,2.199659460224082,63.9319933088282,42,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BFA,Burkina Faso,Sub-Saharan Africa,12.673048,-1.36388,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,66.95145097317092,2.223359097869517,63.546690846920484,43,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
PER,Peru,Latin America & Caribbean,-12.976679,-72.90016,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,67.36054581753751,2.2329728267121314,63.30610449583334,44,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ARG,Argentina,Latin America & Caribbean,-33.501159,-64.173331,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.04360523907359,2.2490247231182297,63.13261172865426,45,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
SAU,Saudi Arabia,Middle East & North Africa,23.806908,44.6996,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,66.7055655350657,2.2175807900740443,63.059973971484226,46,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MOZ,Mozambique,Sub-Saharan Africa,-13.94323,37.83789,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,67.95018620264428,2.2468293757621405,63.02807288222415,47,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
COL,Colombia,Latin America & Caribbean,3.373111,-73.174347,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.61349064703687,2.2624170302053663,63.01234925621409,48,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
UZB,Uzbekistan,Europe & Central Asia,41.693603,64.005429,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,66.68917005892045,2.217195496384631,62.79527590926892,49,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ZAF,South Africa,Sub-Saharan Africa,-29.708776,23.665734,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.28508132701589,2.2781994111848736,62.73053666827839,50,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
YEM,"Yemen, Rep.",Middle East & North Africa,15.328226,45.874383,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.14338793308747,2.2513696164275556,62.68110542607593,51,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
