origin_iso3,origin_country,region,origin_lat,origin_lon,destination_city,destination_lat,destination_lon,flow_type,modelled_potential_index,stroke_width,SAI_MGIMO_V3_SCORE,rank_practical_student_recruitment,student_recruitment_status,due_diligence_warnings,source,year
SRB,Serbia,Europe & Central Asia,44.189919,20.787989,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,51.4485544479664,1.8590410295272104,52.451803872235004,106,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
URY,Uruguay,Latin America & Caribbean,-32.961127,-55.966942,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,49.82804334672274,1.8209590186479843,52.173174710636516,107,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
QAT,Qatar,Middle East & North Africa,25.237383,51.143509,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,47.616820741444066,1.7689952874239356,51.93804662986058,108,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,39.885252,126.444516,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,57.05705516826897,1.9908407964543207,51.674616841973055,109,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
CUB,Cuba,Latin America & Caribbean,21.334024,-77.975855,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,52.998076112026794,1.8954547886326298,51.47416959897838,110,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
GEO,Georgia,Europe & Central Asia,41.870087,43.735724,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,48.72511827370758,1.7950402794321283,51.02366496697995,111,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
TLS,Timor-Leste,East Asia & Pacific,-8.803705,125.854679,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,46.95462884815625,1.7534337779316718,50.571691817167974,112,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
SLV,El Salvador,Latin America & Caribbean,13.685371,-88.890124,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,52.01411795893347,1.8723317720349368,50.46264858909443,113,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
LSO,Lesotho,Sub-Saharan Africa,-29.480158,28.246639,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,48.359939071764366,1.7864585681864629,50.296829105292964,114,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BIH,Bosnia and Herzegovina,Europe & Central Asia,44.091051,18.06841,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,46.966046244745954,1.75370208675153,50.12090168469185,115,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MDA,Moldova,Europe & Central Asia,47.434999,28.487904,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,46.6562534302107,1.7464219556099514,49.619851012598964,116,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MUS,Mauritius,Sub-Saharan Africa,-20.299506,57.565848,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,43.85107200597522,1.6805001921404177,49.093681960740184,117,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ARM,Armenia,Europe & Central Asia,40.459077,44.800564,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,46.38554939543166,1.740060410792644,48.73355166600452,118,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BRN,Brunei Darussalam,East Asia & Pacific,4.448298,114.551943,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,39.823308112385305,1.5858477406410547,48.66040160783481,119,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BLZ,Belize,Latin America & Caribbean,17.202068,-88.712962,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,39.725931815725176,1.5835593976695417,47.737934072901176,120,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
JAM,Jamaica,Latin America & Caribbean,18.137124,-77.318767,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,45.955176886389204,1.7299466568301463,47.01837178781363,121,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
CPV,Cabo Verde,Sub-Saharan Africa,15.074761,-23.639434,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,39.67541000126087,1.5823721350296305,46.94077442106004,122,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
WSM,Samoa,East Asia & Pacific,-13.639139,-172.438241,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,36.272320254513666,1.5023995259810712,46.730585508632785,123,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
FJI,Fiji,East Asia & Pacific,-17.826099,177.975427,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,40.66312788708426,1.6055835053464802,45.39075820868347,124,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MDV,Maldives,South Asia,4.174441,73.507554,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,36.75283110983517,1.5136915310811265,44.683392757178304,125,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
LCA,St. Lucia,Latin America & Caribbean,13.892371,-60.980094,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,33.11615116136457,1.4282295522920676,44.41381742582888,126,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
ATG,Antigua and Barbuda,Latin America & Caribbean,17.352249,-61.790612,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,31.06580134936683,1.3800463317101204,43.14694631856504,127,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
BRB,Barbados,Latin America & Caribbean,13.163709,-59.568966,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,33.1974245869666,1.430139477793715,42.703120272174985,128,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
TON,Tonga,East Asia & Pacific,-21.210026,-175.163014,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,31.018131394100372,1.378926087761359,42.67322255842612,129,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,13.0879,-61.3359,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,28.623962584797397,1.3226631207427388,39.75550358999639,130,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
GRD,Grenada,Latin America & Caribbean,12.113156,-61.680461,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,24.90131355256728,1.2351808684853312,34.585157711899,131,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
MHL,Marshall Islands,East Asia & Pacific,7.082568,171.193609,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,24.707430461290276,1.2306246158403216,34.315875640680936,132,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
KNA,St. Kitts and Nevis,Latin America & Caribbean,17.336558,-62.757975,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,23.59953785025813,1.2045891394810662,32.7771359031363,133,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
PLW,Palau,East Asia & Pacific,7.518252,134.580157,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,22.665708707568825,1.1826441546278674,31.48015098273448,134,practical_priority_pool,,student_attraction_v3.csv,latest open indicators
