iso3,country,factor_key,factor_group,input_key,lineage_type,official_indicator_code,official_indicator_name_en,official_indicator_name_ru,provider,source_name,source_key,source_note,official_url,raw_file,source_manifest_code,latest_observed_year_in_run,year,unit,raw_value,normalized_value,normalization_method,within_factor_weight,factor_weight,scoring_role,weight_note,observation_status
VNM,Viet Nam,I_RUSCOMP,russiaCompatibility,isNonSovereignOrSpecial,official_indicator,ISO3166.SPECIAL_TERRITORY_FLAG,Is non sovereign or special,Особая или несамостоятельная территория,ISO 3166 / project country boundary reference,MGIMO partner registry and Government of Russia Order No. 430-r,mgimo_presence,ISO country code and dashboard boundary reference,https://www.iso.org/iso-3166-country-codes.html,docs/data/world_admin_boundaries_ru_claimed_update_2026.geojson,,,2026,flag,False,,eligibility_reference_flag_not_scored_in_index,0.0,0.16,hard_filter_context,"0%: reference/status/context value, not an index bonus",official_or_reference
VNM,Viet Nam,I_RUSCOMP,russiaCompatibility,inPreparation,official_indicator,MGIMO_PIPELINE_STATUS.FLAG,In preparation,Проект в подготовке,MGIMO,MGIMO partner registry and Government of Russia Order No. 430-r,mgimo_presence,MGIMO country presence reference table,https://mgimo.ru/about/,data/reference/mgimo_existing_presence.csv,,,2026,flag,True,,reference_status_flag_not_scored,0.0,0.16,reference_status_not_scored,"0%: reference/status/context value, not an index bonus",official_or_reference
VNM,Viet Nam,I_RUSCOMP,russiaCompatibility,partnerUniversitiesMgimoCount,official_indicator,MGIMO_PARTNER_UNIVERSITIES.COUNT,Partner universities mgimo count,Партнёрские университеты МГИМО,MGIMO,MGIMO partner registry and Government of Russia Order No. 430-r,mgimo_presence,MGIMO partner universities country table,https://mgimo.ru/about/structure/int/docs/partner-universities/,data/reference/mgimo_partner_universities.csv,,,2026,count,3.0,0.5,"robust_norm(log1p(raw), positive=True)",0.14,0.16,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_RUSCOMP,russiaCompatibility,strategicHrFit,derived_component,not_applicable_modelled_component,Strategic hr fit,Стратегическое кадровое соответствие,MGIMO campuses/about and admissions pages,MGIMO partner registry and Government of Russia Order No. 430-r,mgimo_presence,Manual reference table distinguishes operational branches from pipeline cases,https://mgimo.ru/about/,https://mgimo.ru/about/,,,2026,0-1,0.6749893805625682,0.6749893805625682,prepared_0_1_score,0.12,0.16,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_RUSCOMP,russiaCompatibility,programFit,derived_component,not_applicable_modelled_component,Program fit,Соответствие программ,MGIMO campuses/about and admissions pages,MGIMO partner registry and Government of Russia Order No. 430-r,mgimo_presence,Manual reference table distinguishes operational branches from pipeline cases,https://mgimo.ru/about/,https://mgimo.ru/about/,,,2026,0-1,0.8190688663800925,0.8190688663800925,prepared_0_1_score,0.1,0.16,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_ECO,economy,gdpPppCurrent,official_indicator,NY.GDP.MKTP.PP.CD,Gdp ppp current,"ВВП по ППС, текущие международные доллары",World Bank Indicators API,World Bank World Development Indicators,world_bank_indicators_long,No API key required according to World Bank documentation; V2 endpoint is used,https://api.worldbank.org/v2/country/all/indicator/{indicator},https://api.worldbank.org/v2/country/all/indicator/{indicator},,,2026,international USD,1455759302312.1614,0.9057701691702148,"robust_norm(log1p(raw), positive=True)",0.15,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_ECO,economy,gdpPcPppCurrent,official_indicator,NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (constant 2021 international $)",ВВП на душу населения по ППС,World Bank,World Bank World Development Indicators,world_bank_indicators_long,World Development Indicators,https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.KD,NY.GDP.PCAP.PP.KD.xls,NY.GDP.PCAP.PP.KD,2024.0,2024,international USD,14415.215953281288,0.5328769108904766,"robust_norm(log1p(raw), positive=True)",0.25,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_ECO,economy,gdpGrowthReal,official_indicator,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),"Рост ВВП, годовой процент",World Bank,World Bank World Development Indicators,world_bank_indicators_long,National accounts / OECD / World Bank staff estimates via World Bank,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG,NY.GDP.MKTP.KD.ZG.xls,NY.GDP.MKTP.KD.ZG,2024.0,2024,%,7.091187466339747,0.9555885982246,"robust_norm(raw, positive=True)",0.17,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_ECO,economy,tradePercentGdp,official_indicator,NE.TRD.GNFS.ZS,Trade (% of GDP),"Торговля товарами и услугами, процент ВВП",World Bank,World Bank World Development Indicators,world_bank_indicators_long,National accounts / OECD / World Bank staff estimates via World Bank,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS,NE.TRD.GNFS.ZS.xls,NE.TRD.GNFS.ZS,2024.0,2024,%,173.86202478296536,0.9027952527925288,"robust_norm(raw, positive=True)",0.08,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
VNM,Viet Nam,I_ECO,economy,programFit,derived_component,not_applicable_modelled_component,Program fit,Соответствие программ,World Bank Indicators API,World Bank World Development Indicators,world_bank_indicators_long,No API key required according to World Bank documentation; V2 endpoint is used,https://api.worldbank.org/v2/country/all/indicator/{indicator},https://api.worldbank.org/v2/country/all/indicator/{indicator},,,2026,0-1,0.8190688663800925,0.8190688663800925,prepared_0_1_score,0.18,0.14,direct_factor_formula_component,within-factor formula weight,official_or_reference
