originIso3,originCountry,region,originLat,originLon,destinationCity,destinationLat,destinationLon,flowType,modelledPotentialIndex,strokeWidth,saiMgimoV3Score,rankPracticalStudentRecruitment,studentRecruitmentStatus,trace,evidence,iso3,country
PHL,Philippines,East Asia & Pacific,11.198,122.465,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,75.60295504454852,2.4266694435468903,67.53355794087017,12,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 75.60295504454852, 'normalized_value': 0.7560295504454853, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,PHL,Philippines
IRQ,Iraq,Middle East & North Africa,33.09403,43.26181,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,72.12734562074186,2.344992622087434,67.45911853297955,13,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 72.12734562074186, 'normalized_value': 0.7212734562074187, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,IRQ,Iraq
ETH,Ethiopia,Sub-Saharan Africa,8.032795,39.0886,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,76.32633496083521,2.4436688715796278,67.29851129305963,14,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 76.32633496083521, 'normalized_value': 0.7632633496083521, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,ETH,Ethiopia
KEN,Kenya,Sub-Saharan Africa,0.549043,37.907632,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,73.09337114014743,2.3676942217934647,67.25766156735719,15,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 73.09337114014743, 'normalized_value': 0.7309337114014742, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,KEN,Kenya
SEN,Senegal,Sub-Saharan Africa,15.138125,-14.778586,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.470843719512,2.2590648274085323,66.94120439476123,16,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 68.470843719512, 'normalized_value': 0.6847084371951201, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,SEN,Senegal
PAK,Pakistan,Middle East & North Africa,29.328389,68.545632,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,76.13433190642593,2.439156799801009,66.85323875892492,17,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 76.13433190642593, 'normalized_value': 0.7613433190642592, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,PAK,Pakistan
TUR,Türkiye,Europe & Central Asia,39.345388,34.508268,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,73.03254773022306,2.366264871660242,66.83903462891713,18,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 73.03254773022306, 'normalized_value': 0.7303254773022306, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,TUR,Türkiye
CIV,Côte d'Ivoire,Sub-Saharan Africa,7.49139,-5.568618,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,70.12513327237568,2.297940631900828,66.70200004069213,19,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 70.12513327237568, 'normalized_value': 0.7012513327237567, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,CIV,Côte d'Ivoire
UGA,Uganda,Sub-Saharan Africa,1.972589,32.948555,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,72.26325939324056,2.3481865957411534,66.68218756401333,20,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 72.26325939324056, 'normalized_value': 0.7226325939324056, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,UGA,Uganda
IDN,Indonesia,East Asia & Pacific,-0.954404,101.892949,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,75.99827828270236,2.435959539643505,66.66427539264215,21,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 75.99827828270236, 'normalized_value': 0.7599827828270236, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,IDN,Indonesia
IND,India,South Asia,22.686852,79.358105,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,75.91683149601106,2.43404554015626,66.5511548555709,22,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 75.91683149601106, 'normalized_value': 0.7591683149601106, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,IND,India
MYS,Malaysia,East Asia & Pacific,2.528667,113.83708,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.7788138675362,2.289802125887101,66.45117786541492,23,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 69.7788138675362, 'normalized_value': 0.697788138675362, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,MYS,Malaysia
MRT,Mauritania,Sub-Saharan Africa,19.587062,-9.740299,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,62.911352614499,2.1284167864407264,66.27414567141703,24,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 62.911352614499, 'normalized_value': 0.62911352614499, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,MRT,Mauritania
MLI,Mali,Sub-Saharan Africa,18.692713,-2.038455,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.82678951704708,2.267429553650606,66.03584890975482,25,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 68.82678951704708, 'normalized_value': 0.6882678951704707, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,MLI,Mali
KWT,Kuwait,Middle East & North Africa,29.413628,47.313999,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,60.0986683296192,2.0623187057460517,65.92862822399222,26,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 60.0986683296192, 'normalized_value': 0.600986683296192, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,KWT,Kuwait
GHA,Ghana,Sub-Saharan Africa,7.717639,-1.036941,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.70501546902157,2.288067863522007,65.75291399365472,27,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 69.70501546902157, 'normalized_value': 0.6970501546902157, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,GHA,Ghana
CMR,Cameroon,Sub-Saharan Africa,4.585041,12.473488,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.1034459221342,2.273930979170154,65.64323238615921,28,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 69.1034459221342, 'normalized_value': 0.691034459221342, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,CMR,Cameroon
BRA,Brazil,Latin America & Caribbean,-12.098687,-49.55945,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,75.13137582898686,2.415587331981192,65.46024420692619,29,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 75.13137582898686, 'normalized_value': 0.7513137582898686, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,BRA,Brazil
NER,Niger,Sub-Saharan Africa,17.446195,9.504356,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.81430315778017,2.267136124207834,65.45871155414818,30,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 68.81430315778017, 'normalized_value': 0.6881430315778018, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,NER,Niger
GAB,Gabon,Sub-Saharan Africa,-0.437739,11.835939,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,59.07024855795212,2.0381508411118747,65.40324889333678,31,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 59.07024855795212, 'normalized_value': 0.5907024855795212, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,GAB,Gabon
VNM,Viet Nam,East Asia & Pacific,21.715416,105.387292,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,72.10780261937641,2.344533361555346,65.18194912428332,32,in_preparation_but_ranked,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 72.10780261937641, 'normalized_value': 0.7210780261937642, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,VNM,Viet Nam
BGD,Bangladesh,South Asia,24.214956,89.684963,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,74.92942973911435,2.410841598869187,65.1797635265477,33,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 74.92942973911435, 'normalized_value': 0.7492942973911435, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,BGD,Bangladesh
CHN,China,East Asia & Pacific,32.498178,106.337289,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,74.89540422065204,2.410041999185323,65.13250586201673,34,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 74.89540422065204, 'normalized_value': 0.7489540422065204, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,CHN,China
SYR,Syrian Arab Republic,Middle East & North Africa,35.006636,38.277783,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.73905496986839,2.2653677917919075,65.11820499438011,35,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 68.73905496986839, 'normalized_value': 0.687390549698684, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,SYR,Syrian Arab Republic
ISR,Israel,Middle East & North Africa,30.911148,34.847915,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,63.38508430763103,2.1395494812293294,65.06209061573888,36,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 63.38508430763103, 'normalized_value': 0.6338508430763103, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,ISR,Israel
COG,"Congo, Rep.",Sub-Saharan Africa,0.142331,15.9005,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,62.6374555000991,2.121980204252329,64.97943902554864,37,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 62.6374555000991, 'normalized_value': 0.626374555000991, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,COG,"Congo, Rep."
JOR,Jordan,Middle East & North Africa,30.805025,36.375991,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,64.47441473369815,2.165148746241907,64.52757121725271,38,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 64.47441473369815, 'normalized_value': 0.6447441473369815, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,JOR,Jordan
KAZ,Kazakhstan,Europe & Central Asia,49.054149,68.685548,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,65.52829294847339,2.1899148842891245,64.50898095731968,39,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 65.52829294847339, 'normalized_value': 0.6552829294847339, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,KAZ,Kazakhstan
ZMB,Zambia,Sub-Saharan Africa,-14.660804,26.395298,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,67.13321626957082,2.2276305823349145,64.34883111260079,40,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 67.13321626957082, 'normalized_value': 0.6713321626957083, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,ZMB,Zambia
AFG,Afghanistan,Middle East & North Africa,34.164262,66.496586,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,69.68451594218924,2.287586124641447,64.06633138808587,41,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 69.68451594218924, 'normalized_value': 0.6968451594218924, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,AFG,Afghanistan
ZWE,Zimbabwe,Sub-Saharan Africa,-18.91164,29.925444,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,65.94295575421624,2.199659460224082,63.9319933088282,42,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 65.94295575421624, 'normalized_value': 0.6594295575421625, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,ZWE,Zimbabwe
BFA,Burkina Faso,Sub-Saharan Africa,12.673048,-1.36388,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,66.95145097317092,2.223359097869517,63.54669084692048,43,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 66.95145097317092, 'normalized_value': 0.6695145097317092, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,BFA,Burkina Faso
PER,Peru,Latin America & Caribbean,-12.976679,-72.90016,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,67.36054581753751,2.232972826712132,63.30610449583334,44,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 67.36054581753751, 'normalized_value': 0.6736054581753751, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,PER,Peru
ARG,Argentina,Latin America & Caribbean,-33.501159,-64.173331,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,68.04360523907359,2.2490247231182297,63.13261172865426,45,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 68.04360523907359, 'normalized_value': 0.6804360523907359, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,ARG,Argentina
SAU,Saudi Arabia,Middle East & North Africa,23.806908,44.6996,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,66.7055655350657,2.2175807900740443,63.05997397148423,46,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 66.7055655350657, 'normalized_value': 0.667055655350657, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,SAU,Saudi Arabia
MOZ,Mozambique,Sub-Saharan Africa,-13.94323,37.83789,Moscow,55.7558,37.6176,modelled_potential_not_observed_mgimo_students,67.95018620264428,2.2468293757621405,63.02807288222415,47,practical_priority_pool,"{'source_key': 'student_flows_modelled_v3.csv', 'year': '2026/2035', 'raw_value': 67.95018620264428, 'normalized_value': 0.6795018620264428, 'normalization_method': '0.72*SAI_MGIMO_V3_SCORE/100 + 0.28*lognorm(pop_15_24_latest)', 'weight': 1.0, 'score_type': 'modelled_potential_not_observed_student_headcount'}",modelled,MOZ,Mozambique
