rank_practical_student_recruitment,rank_reference_all,iso3,country,region,income_group,student_recruitment_status,SAI_MGIMO_V3_SCORE,A_YOUTH_OPPORTUNITY,A_OUTBOUND_MOBILITY_UIS,A_LEGAL_PARTNERSHIP_CONTEXT,A_PROGRAM_RELEVANCE,A_AFFORDABILITY_ACCESS,A_DIGITAL_REACH,A_DATAQ,pop_15_24_latest,pop_15_24_latest_year,pop_15_24_base_year,pop_15_24_growth_10y_pct,student_pool_latest,student_pool_latest_year,uis_outbound_mobility_ratio,uis_outbound_mobility_year,uis_source_key,uis_observation_status,internet_users_pct,gdp_pc_ppp_current,program_relevance_score,dataq_required_available,dataq_required_total,score_source_policy,is_unfriendly_430r,is_domestic_russia,is_non_sovereign_or_special,has_existing_mgimo_presence,in_preparation,has_required_open_data,due_diligence_warnings,latitude,longitude
11,11,AGO,Angola,Sub-Saharan Africa,Lower middle income,practical_priority_pool,68.02352450369692,0.9082194794257414,0.04419826064952354,1.0,0.2923571150215104,0.3937668490287174,0.30098008691826944,1.0,7245916.0,2024,2014,43.369527666524064,8461233.7,2024,3.599030017852783,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,40.70479965,8901.887366115625,0.2923571150215104,6,6,open_api_factual_only,False,False,False,False,False,True,,-12.182762,17.984249
12,12,PHL,Philippines,East Asia & Pacific,Lower middle income,practical_priority_pool,67.53355794087017,0.8425874624269146,0.0013194472143987046,1.0,0.5322055015335618,0.4379869396814501,0.6243770034342137,1.0,22041207.0,2024,2014,6.7110196768895625,26650836.0,2024,0.8647500276565552,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,67.26300914,10375.940417993756,0.5322055015335618,6,6,open_api_factual_only,False,False,False,False,False,True,,11.198,122.465
13,13,IRQ,Iraq,Middle East & North Africa,Upper middle income,practical_priority_pool,67.45911853297955,0.8499263896195656,0.007496406735975965,1.0,0.3339790175394601,0.4968846844420551,0.7974290743144119,1.0,9036179.0,2024,2014,23.023444106244085,10765873.25,2024,1.258640050888062,2005.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,81.47450256,12725.043126039314,0.3339790175394601,6,6,open_api_factual_only,False,False,False,False,False,True,,33.09403,43.26181
14,14,ETH,Ethiopia,Sub-Saharan Africa,,practical_priority_pool,67.29851129305963,0.958213509561302,0.0004490990925020218,1.0,0.3343172560434796,0.0693529363371434,0.07249864078595068,1.0,27812983.0,2024,2014,30.244875313155916,32923963.3,2024,0.809249997138977,2014.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,21.94129944,2892.2222016826404,0.3343172560434796,6,6,open_api_factual_only,False,False,False,False,False,True,,8.032795,39.0886
15,15,KEN,Kenya,Sub-Saharan Africa,Lower middle income,practical_priority_pool,67.25766156735719,0.9105243453750391,0.03696198512336506,1.0,0.32261219820883,0.27237665665270366,0.23122375276112803,1.0,12070328.0,2024,2014,30.29359195314827,14172410.3,2024,3.137589931488037,2019.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,34.97622513,5845.201177178245,0.32261219820883,6,6,open_api_factual_only,False,False,False,False,False,True,,0.549043,37.907632
16,16,SEN,Senegal,Sub-Saharan Africa,Lower middle income,practical_priority_pool,66.94120439476123,0.8536688666990662,0.09460738335958797,1.0,0.4285297585101912,0.1943871710713459,0.5373704578862257,1.0,3840584.0,2024,2014,39.1075434807963,4540661.15,2024,6.813499927520752,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,60.11780167,4460.923721763184,0.4285297585101912,6,6,open_api_factual_only,False,False,False,False,False,True,,15.138125,-14.778586
17,17,PAK,Pakistan,Middle East & North Africa,Lower middle income,practical_priority_pool,66.85323875892492,0.879567851293731,0.05326508484088504,1.0,0.3104620322863317,0.25482741182653545,0.5024860268835796,1.0,49936921.0,2024,2014,14.237793743230732,59062641.1,2024,4.177199840545654,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,57.253,5500.323948242852,0.3104620322863317,6,6,open_api_factual_only,False,False,False,False,False,True,,29.328389,68.545632
18,18,TUR,Türkiye,Europe & Central Asia,Upper middle income,practical_priority_pool,66.83903462891713,0.7579444379717729,0.0,1.0,0.5698097284634696,0.7982588039817146,0.8984455196826112,1.0,12851242.0,2024,2014,-1.858093492476376,15949219.75,2024,0.7259500026702881,2022.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,89.77024003,36154.49043655701,0.5698097284634696,6,6,open_api_factual_only,False,False,False,False,False,True,,39.345388,34.508268
19,19,CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,practical_priority_pool,66.70200004069213,0.8661308251144189,0.08028820805756502,1.0,0.3736003025907182,0.31378246368652185,0.30983756330131457,1.0,6181505.0,2024,2014,32.96212663516505,7222595.75,2024,5.900400161743164,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,41.43219902,6747.037967773879,0.3736003025907182,6,6,open_api_factual_only,False,False,False,False,False,True,,7.49139,-5.568618
20,20,UGA,Uganda,Sub-Saharan Africa,Low income,practical_priority_pool,66.68218756401333,0.9427618357095513,0.03999189461765538,1.0,0.3119546577244374,0.06809803380963148,0.0,1.0,10831001.0,2024,2014,38.94579267278133,12741217.25,2024,3.33080005645752,2014.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,8.949831061,2879.670092903761,0.3119546577244374,6,6,open_api_factual_only,False,False,False,False,False,True,,1.972589,32.948555
21,21,IDN,Indonesia,East Asia & Pacific,Upper middle income,practical_priority_pool,66.66427539264215,0.8252561767983912,0.0,1.0,0.4289149917586723,0.5339803688342266,0.6915661014119652,1.0,45267159.0,2024,2014,3.18351022654475,55182325.8,2024,0.7122600078582764,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,72.78075544,14470.43720205784,0.4289149917586723,6,6,open_api_factual_only,False,False,False,False,False,True,,-0.954404,101.892949
22,22,IND,India,South Asia,Lower middle income,practical_priority_pool,66.5511548555709,0.8280261325067075,0.018324158173637785,1.0,0.4617024798830687,0.4220369142284111,0.6577050937555738,1.0,257366827.0,2024,2014,3.747290960851113,313378348.6,2024,1.949100017547607,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,70.0,9818.042706866394,0.4617024798830687,6,6,open_api_factual_only,False,False,False,False,False,True,,22.686852,79.358105
23,23,MYS,Malaysia,East Asia & Pacific,Upper middle income,practical_priority_pool,66.45117786541492,0.7062610289017424,0.05269802602990326,1.0,0.7012816965404672,0.7815110858019436,0.9989094791784887,1.0,5920246.0,2024,2014,1.1784405905567619,7338030.4,2024,4.141039848327637,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,98.0206059,34116.23178488853,0.7012816965404672,6,6,open_api_factual_only,False,False,False,False,False,True,,2.528667,113.83708
24,24,MRT,Mauritania,Sub-Saharan Africa,Lower middle income,practical_priority_pool,66.27414567141703,0.7399387130881541,0.376665103996515,1.0,0.4982481443333585,0.30224850964417743,0.362773035133286,1.0,1022376.0,2024,2014,39.541320842017335,1196945.4,2024,24.79965019226074,2020.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,45.77939987,6482.690167243336,0.4982481443333585,6,6,open_api_factual_only,False,False,False,False,False,True,,19.587062,-9.740299
25,25,MLI,Mali,Sub-Saharan Africa,Low income,practical_priority_pool,66.03584890975482,0.8762348708609422,0.15342281476205125,1.0,0.2906423628040874,0.07173361100320912,0.25344994051573566,1.0,4993956.0,2024,2014,46.76623582726456,5770075.95,2024,10.56402015686035,2015.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,36.80149841,2916.185295371537,0.2906423628040874,6,6,open_api_factual_only,False,False,False,False,False,True,,18.692713,-2.038455
26,26,KWT,Kuwait,Middle East & North Africa,High income,practical_priority_pool,65.92862822399222,0.6304611818573798,0.2969098933091742,1.0,0.5554035482218429,0.8686304087336145,1.0,1.0,524163.0,2024,2014,28.152199424961367,716897.55,2024,19.7138500213623,2021.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,100.0,46137.46742548454,0.5554035482218429,6,6,open_api_factual_only,False,False,False,False,False,True,,29.413628,47.313999
27,27,GHA,Ghana,Sub-Saharan Africa,Lower middle income,practical_priority_pool,65.75291399365472,0.8210346579253848,0.0409844026998016,1.0,0.4185634405434786,0.32668827931065697,0.6841983634942174,1.0,6620364.0,2024,2014,22.58389684261981,7827814.8,2024,3.394089937210083,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,72.17569733,7055.624960093233,0.4185634405434786,6,6,open_api_factual_only,False,False,False,False,False,True,,7.717639,-1.036941
28,28,CMR,Cameroon,Sub-Saharan Africa,Lower middle income,practical_priority_pool,65.64323238615921,0.8545470911679325,0.11473970224427768,1.0,0.283845513334803,0.22247264526508445,0.36861065339629984,1.0,5777530.0,2024,2014,31.78651402700772,6790760.35,2024,8.0972900390625,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,46.25880051,4916.9335401949365,0.283845513334803,6,6,open_api_factual_only,False,False,False,False,False,True,,4.585041,12.473488
29,29,BRA,Brazil,Latin America & Caribbean,Upper middle income,practical_priority_pool,65.46024420692619,0.7655128347886465,0.0013824882296029281,1.0,0.5116577487325465,0.6223197854484389,0.8338254883173031,1.0,30607316.0,2024,2014,-8.97630342211604,37974621.5,2024,0.8687700033187866,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,84.46347227,19652.365499170355,0.5116577487325465,6,6,open_api_factual_only,False,False,False,False,False,True,,-12.098687,-49.55945
30,30,NER,Niger,Sub-Saharan Africa,Low income,practical_priority_pool,65.45871155414818,0.8852597462906855,0.13392419623125304,1.0,0.3816171374892317,0.0,0.0,1.0,5546972.0,2024,2014,55.114194208873066,6425975.9,2024,9.320639610290527,2019.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,15.55760002,1803.4369300531985,0.3816171374892317,6,6,open_api_factual_only,False,False,False,False,False,True,,17.446195,9.504356
31,31,GAB,Gabon,Sub-Saharan Africa,Upper middle income,practical_priority_pool,65.40324889333678,0.566973589677898,0.7232160526788657,1.0,0.4057631368093474,0.6114148274777661,0.6421296268096605,1.0,442479.0,2024,2014,18.193279892298776,528137.85,2024,46.89838027954102,2003.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,68.72090149,18923.66166116509,0.4057631368093474,6,6,open_api_factual_only,False,False,False,False,False,True,,-0.437739,11.835939
32,32,VNM,Viet Nam,East Asia & Pacific,Lower middle income,in_preparation_but_ranked,65.18194912428332,0.7029261422985533,0.06036225960613623,1.0,0.8190688663800925,0.5328769108904766,0.8300083648184685,1.0,13782041.0,2024,2014,-14.279205765804049,16800923.6,2024,4.629769802093506,2022.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,84.15,14415.215953281288,0.8190688663800925,6,6,open_api_factual_only,False,False,False,False,True,True,,21.715416,105.387292
33,33,BGD,Bangladesh,South Asia,Lower middle income,practical_priority_pool,65.1797635265477,0.8397801503690262,0.017855895150910357,1.0,0.3502269735021084,0.37998578739690597,0.45583279332087845,1.0,33163361.0,2024,2014,6.1396356476534075,39966252.2,2024,1.91923999786377,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,53.42171316,8486.784956605168,0.3502269735021084,6,6,open_api_factual_only,False,False,False,False,False,True,,24.214956,89.684963
34,34,CHN,China,East Asia & Pacific,Upper middle income,practical_priority_pool,65.13250586201673,0.7320043851189068,0.01615785562631899,1.0,0.5652536283048547,0.6781377539646937,0.9207263414558229,1.0,162541313.0,2024,2014,-15.796419102506077,200552626.7,2024,1.810960054397583,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,91.6,23845.619721725907,0.5652536283048547,6,6,open_api_factual_only,False,False,False,False,False,True,,32.498178,106.337289
35,35,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,practical_priority_pool,65.11820499438011,0.8890644005802042,0.08602623034982888,1.0,0.1573071318777307,0.19399426147296603,0.21653566397824736,1.0,5798084.0,2024,2014,61.702182250611884,6850871.6,2024,6.266300201416016,2016.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,33.77000046,4454.853732714638,0.1573071318777307,6,6,open_api_factual_only,False,False,False,False,False,True,,35.006636,38.277783
36,36,ISR,Israel,Middle East & North Africa,High income,practical_priority_pool,65.06209061573888,0.6869631716171856,0.05973812327080194,1.0,0.6231727010092957,0.8760495383525537,0.879110806089267,1.0,1452034.0,2024,2014,21.831388299929767,1741297.15,2024,4.589970111846924,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,88.18242225,47338.84246242046,0.6231727010092957,6,6,open_api_factual_only,False,False,False,False,False,True,,30.911148,34.847915
37,37,COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,practical_priority_pool,64.97943902554864,0.7319981963882228,0.3883161574084954,1.0,0.3640702749812129,0.2885181725703383,0.38069986308246306,1.0,1213685.0,2024,2014,34.13359150252035,1417623.65,2024,25.54261016845703,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,47.25159836,6181.4707163596695,0.3640702749812129,6,6,open_api_factual_only,False,False,False,False,False,True,,0.142331,15.9005
38,38,JOR,Jordan,Middle East & North Africa,Lower middle income,practical_priority_pool,64.52757121725271,0.7108170193104931,0.12803014359402132,1.0,0.5725650227981351,0.4131480621643256,0.9697073497131691,1.0,2132074.0,2024,2014,19.96801714155172,2572456.15,2024,8.94478988647461,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,95.62244985,9520.250644974538,0.5725650227981351,6,6,open_api_factual_only,False,False,False,False,False,True,,30.805025,36.375991
39,39,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,practical_priority_pool,64.50898095731968,0.6516631402038662,0.15691627630823943,1.0,0.6080131954483511,0.7968140764103363,0.9425433760364282,1.0,2815650.0,2024,2014,3.064236107933671,3384917.55,2024,10.786789894104,2020.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,93.39167254,35973.96332870171,0.6080131954483511,6,6,open_api_factual_only,False,False,False,True,False,True,,49.054149,68.685548
40,40,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,practical_priority_pool,64.34883111260079,0.8571398616455579,0.12624208339906212,1.0,0.3214288173172405,0.14104985961878452,0.013558749921819678,1.0,4408064.0,2024,2014,37.045998970926334,5180147.9,2024,8.830769538879395,2012.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,17.10099983,3708.069042956468,0.3214288173172405,6,6,open_api_factual_only,False,False,False,False,False,True,,-14.660804,26.395298
41,41,AFG,Afghanistan,Middle East & North Africa,Low income,practical_priority_pool,64.06633138808587,0.8875555322107094,0.10835730887530681,1.0,0.2437003431849984,0.0,0.0013087725163798839,1.0,9036125.0,2024,2014,30.682366266829852,10654361.9,2024,7.690299987792969,2020.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,16.09499931,1983.8126199290875,0.2437003431849984,6,6,open_api_factual_only,False,False,False,False,False,True,,34.164262,66.496586
42,42,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,practical_priority_pool,63.9319933088282,0.8066961901493115,0.18665958138149444,1.0,0.2405253542433007,0.2394699276519948,0.31240202485007945,1.0,3495553.0,2024,2014,30.835696362482178,4006745.35,2024,12.68344974517822,2015.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,41.64279938,5215.253010757424,0.2405253542433007,6,6,open_api_factual_only,False,False,False,False,False,True,,-18.91164,29.925444
43,43,BFA,Burkina Faso,Sub-Saharan Africa,Low income,practical_priority_pool,63.546690846920484,0.8675071199627855,0.04805005882688355,1.0,0.3260737276410185,0.03275601119236943,0.14935200481717573,1.0,4886925.0,2024,2014,37.352383270464685,5708464.8,2024,3.844650030136108,2023.0,unesco_uis_uis006_mor_5t8_40510,uis_estimate,28.25270081,2547.672328522092,0.3260737276410185,6,6,open_api_factual_only,False,False,False,False,False,True,,12.673048,-1.36388
