iso3,country,format,capacity_students,capex_usd,capex_base_usd_for_diag,cost_factor,risk_premium,capex_rub,avg_tuition_usd,students_year_1,students_year_10,capture_ceiling,demand_pool_students,host_subsidy_share,annual_revenue_year_10_usd,annual_opex_year_10_usd,cashflow_year_10_usd,npv_10y_usd,npv_10y_rub,npv_expected_usd,npv_expected_rub,npv_p10_usd,npv_p90_usd,npv_positive_probability,payback_years,margin_year_10,breakeven_students,discount_rate
UGA,Uganda,flagship_regional_hub,2500,19254143.38115405,15151795.40538748,0.45,0.1552272349134467,1414580734.6556687,4595.532642242652,75.0,1.4246098769142956,0.00011654343532327211,12421.433664921104,0.0,956284.9675441481,2913159.962760181,-1956874.995216033,-33578364.531808496,-2466965505.9509854,-32696697.456534553,-2402190395.7643914,-37986967.725889556,-29375766.273676403,0.0,inf,-298.9036907846163,965.0153121075036,0.11
COD,"Congo, Dem. Rep.",partner_embedded_branch,600,1734221.6355957242,1312742.6182657904,0.45,0.2009704730631618,127411355.92341872,4434.45,25.0,2.9682669037201017,0.0001317510096976431,22541.102396732673,0.08,132636.12592435355,391318.3714484766,-227376.77580824494,-3391992.403833501,-249205950.71800312,-3253969.9402597174,-239065592.14394715,-3530574.380035472,-3042520.675258141,0.0,inf,-17.27441670672353,110.71460003450332,0.11
COD,"Congo, Dem. Rep.",urban_standard_branch,1400,5615242.094814006,4250533.760184739,0.45,0.2009704730631618,412545659.93968076,4434.45,40.0,2.960484184416965,0.0001317510096976431,22541.102396732673,0.0,332602.9943279243,1002738.798167655,-670135.8038397308,-10475673.080419486,-769636177.9780313,-10607038.628968883,-779287460.327852,-11525224.636533929,-9764772.888312774,0.0,inf,-51.045835215582265,306.02567645435494,0.11
COD,"Congo, Dem. Rep.",flagship_regional_hub,2500,20095103.66339584,15211261.61498211,0.45,0.2009704730631618,1476365161.535663,4434.45,75.0,2.9225739915712166,0.0001317510096976431,22541.102396732673,0.0,962441.6079074461,3030522.58283741,-2068080.9749299637,-35096833.073777325,-2578525719.414039,-34076082.68346987,-2503532311.0635796,-38694560.33611975,-31015734.52290172,0.0,inf,-159.57404788046463,1057.4316761140767,0.11
LKA,Sri Lanka,partner_embedded_branch,600,1776884.0687578411,1425872.8865493222,0.5541214286978215,0.13288440270818128,130545717.95916297,5324.048299252142,25.0,12.945365032693221,0.0001279885354662051,101197.40729654464,0.08,186164.87873808815,463819.9289956935,-240549.45593794988,-3586722.866338533,-263512583.59473905,-3465544.588353778,-254609748.8073049,-4062329.948972609,-2895244.890960727,0.0,inf,-3.490182134460669,107.69764673508489,0.11
LKA,Sri Lanka,urban_standard_branch,1400,5924951.027023866,4754517.850718171,0.5541214286978215,0.13288440270818128,435299634.5093137,5324.048299252142,40.0,12.911422619293731,0.0001279885354662051,101197.40729654464,0.0,385991.39613168937,1177087.6100758645,-791096.213944175,-11576646.265790194,-850523466.8367133,-11409718.734701242,-838259484.7478921,-12500143.420170782,-10069594.006245196,0.0,inf,-11.5083542689547,298.3920818747046,0.11
LKA,Sri Lanka,flagship_regional_hub,2500,21570379.249742977,17309299.726174887,0.5541214286978215,0.13288440270818128,1584752036.061442,5324.048299252142,75.0,12.746086650269875,0.0001279885354662051,101197.40729654464,0.0,1015146.3497143901,3537325.860366916,-2522179.510652526,-39314659.28223564,-2888404771.340642,-38212048.00808023,-2807397133.9008455,-41137459.16820754,-36107021.015442565,0.0,inf,-37.16696853840125,1035.9887534762752,0.11
ZMB,Zambia,partner_embedded_branch,600,1627399.2853940465,1297548.0073608125,0.45,0.14019202944324974,119563235.35868667,4688.061651054077,25.0,0.8641847226816023,0.00011770406523377583,7345.836810245352,0.08,123889.2972075172,370063.874696204,-216569.46751299046,-3201284.7329907357,-235194867.91962308,-3341724.8092862447,-245512845.8409702,-3674146.793373725,-2983575.910922077,0.0,inf,-53.45610729121712,98.30185353387735,0.11
ZMB,Zambia,urban_standard_branch,1400,5289141.2319949735,4217105.616193787,0.45,0.14019202944324974,388587388.25931555,4688.061651054077,40.0,0.8619188526163933,0.00011770406523377583,7345.836810245352,0.0,323879.0995705006,950063.1641755956,-626184.064605095,-9865345.3554739,-724796071.3867764,-9636697.964878766,-707997599.1118816,-10185671.025313916,-9110415.431056673,0.0,inf,-154.96810305988515,270.3886253610595,0.11
ZMB,Zambia,flagship_regional_hub,2500,18979037.467618857,15132249.638276225,0.45,0.14019202944324974,1394369005.804743,4688.061651054077,75.0,0.8508816344167263,0.00011770406523377583,7345.836810245352,0.0,953829.4261374995,2874470.8940770007,-1920641.4679395012,-33078927.56943401,-2430272421.7059903,-32306939.41105932,-2373555300.8971763,-34777803.80720561,-28272135.18133008,0.0,inf,-481.4861921911614,925.2125775981691,0.11
NPL,Nepal,partner_embedded_branch,600,1611193.9773359094,1295217.370614606,0.45,0.13086948245842336,118372649.2014942,4812.527330889078,25.0,8.056112047146827,0.00011797525994152079,68322.0217566765,0.08,157219.4490312949,372383.3755115357,-185373.25643931792,-3056030.0460329126,-224523165.84898746,-2996072.6867346186,-220118164.61443704,-3356173.899805187,-2460643.81547431,0.0,inf,-4.78132618331115,94.49367711777424,0.11
NPL,Nepal,urban_standard_branch,1400,5239517.386973563,4211978.215352133,0.45,0.13086948245842336,384941578.951822,4812.527330889078,40.0,8.03498912903627,0.00011797525994152079,68322.0217566765,0.0,357121.8605954083,949403.4833843834,-592281.622788975,-9677092.149876144,-710965315.4500355,-9263705.202620402,-680594231.1607981,-9565489.031155376,-8951419.361353366,0.0,inf,-15.316860436347472,259.35042407715474,0.11
NPL,Nepal,flagship_regional_hub,2500,18808783.353601996,15120130.32719595,0.45,0.13086948245842336,1381860623.3274498,4812.527330889078,75.0,7.932097855710569,0.00011797525994152079,68322.0217566765,0.0,986646.500213018,2860856.372303943,-1874209.872090925,-32695636.553787544,-2402112452.406562,-32014251.297649555,-2352051827.1618857,-37172544.22677909,-28746583.11480371,0.0,inf,-49.097225294330826,883.6489646263145,0.11
BEN,Benin,partner_embedded_branch,600,1612745.5674076548,1295440.817231004,0.45,0.1317632689240154,118486642.81731626,4707.663143648046,25.0,1.662830082698281,0.00012260691515543487,13569.350534706753,0.08,127514.92213868922,367925.9504677844,-210976.95229167247,-3159489.035244963,-232124183.9815087,-3135197.8572004456,-230339537.85087383,-3392420.987377061,-2879598.7551662186,0.0,inf,-26.95142683611798,97.08901772793845,0.11
BEN,Benin,urban_standard_branch,1400,5244270.447596709,4212469.797908208,0.45,0.1317632689240154,385290781.08743787,4707.663143648046,40.0,1.658470185087243,0.00012260691515543487,13569.350534706753,0.0,327495.2182065674,943834.8068624792,-616339.5886559119,-9768886.97692875,-717709380.4192806,-10021505.392256286,-736268977.5131379,-10560653.538454648,-9581608.29378844,0.0,inf,-78.94179846441745,266.95883226991367,0.11
BEN,Benin,flagship_regional_hub,2500,18825095.461440463,15121292.24960122,0.45,0.1317632689240154,1383059055.9470234,4707.663143648046,75.0,1.6372328061218278,0.00012260691515543487,13569.350534706753,0.0,957399.2389173931,2854327.377453059,-1896928.1385356658,-32791443.4399231,-2409151278.9433665,-32105985.34287539,-2358791426.557178,-34622065.05457789,-28663838.869473837,0.0,inf,-246.11328723465795,912.8418380112921,0.11
ETH,Ethiopia,partner_embedded_branch,600,1700043.6062380562,1307912.4036165632,0.45,0.18164961446625266,124900333.70234314,4597.0561405620465,25.0,7.309682221180856,0.00011840232267179351,61768.12657605743,0.08,152258.8987588192,388281.9141362927,-204960.46224657007,-3255907.96277506,-239207976.52632463,-3156249.805957684,-231886201.3689245,-3476172.2419537148,-2881919.141668625,0.0,inf,-6.099465614985223,104.30086846311073,0.11
ETH,Ethiopia,urban_standard_branch,1400,5511093.29340502,4239907.287956439,0.45,0.18164961446625266,404893962.0638441,4597.0561405620465,40.0,7.290516422831901,0.00011840232267179351,61768.12657605743,0.0,352174.3167578699,990940.915301759,-638766.5985438891,-10219359.56792367,-750805106.1598275,-10167214.54721097,-746974068.8475882,-11976330.708736945,-9051729.796315322,0.0,inf,-19.05917503134357,287.37170071826654,0.11
ETH,Ethiopia,flagship_regional_hub,2500,19739171.971467376,15186144.498806128,0.45,0.18164961446625266,1450215251.6545396,4597.0561405620465,75.0,7.19715842247863,0.00011840232267179351,61768.12657605743,0.0,981762.3116678271,2987797.0644543148,-2006034.7527864878,-34404828.22226673,-2527684884.1788926,-32877761.919199467,-2415493002.665474,-34738052.039163135,-31191063.314140137,0.0,inf,-60.631398080062155,986.6088343841377,0.11
MRT,Mauritania,partner_embedded_branch,600,1649160.1958158738,1313302.8517098483,0.4623268490669632,0.14157716150457636,121161985.51037686,4923.990831297291,25.0,0.6882545520451282,0.00013352976516934899,5157.000358155703,0.08,123253.40073971408,380527.9034939224,-226832.2704746945,-3277738.9136721496,-240811872.4746878,-3279283.3474848093,-240925340.3280267,-3548182.37428084,-3034308.1250720154,0.0,inf,-66.93272580827039,95.85884985840232,0.11
MRT,Mauritania,urban_standard_branch,1400,5377015.374647095,4281967.053975726,0.4623268490669632,0.14157716150457636,395043404.85841,4923.990831297291,40.0,0.6864499663520559,0.00013352976516934899,5157.000358155703,0.0,323244.8704068434,977094.4796336229,-653849.6092267795,-10107766.196302235,-742606463.8995093,-9954102.076768136,-731316930.0678705,-11055330.296598034,-8900544.405376986,0.0,inf,-193.44243256492084,263.18582328736755,0.11
MRT,Mauritania,flagship_regional_hub,2500,19329419.154802144,15392914.140362175,0.4623268490669632,0.14157716150457636,1420111162.9422433,4923.990831297291,75.0,0.6776596979424685,0.00013352976516934899,5157.000358155703,0.0,953203.3185338321,2956549.154299181,-2003345.8357653487,-33902427.815404855,-2490774078.927198,-33650364.63220472,-2472255274.1269855,-35466176.441567965,-31794489.72227623,0.0,inf,-600.3811303879394,897.3106449772231,0.11
NAM,Namibia,partner_embedded_branch,600,1664779.5352423904,1383645.2691874886,0.5281555293805047,0.09380342984743001,122309521.19676965,5159.61299236151,25.0,2.457475550489779,0.00013500356331005016,18212.523642947748,0.08,132172.4378675691,418084.3806065915,-252465.1922904951,-3456474.479033428,-253943377.85265902,-3416680.261432243,-251019740.45913935,-3886257.175853138,-2967560.9755817475,0.0,inf,-19.911096465286544,101.90251014242827,0.11
NAM,Namibia,urban_standard_branch,1400,5532239.756551036,4598000.639194711,0.5281555293805047,0.09380342984743001,406447569.4500724,5159.61299236151,40.0,2.451032112947214,0.00013500356331005016,18212.523642947748,0.0,332140.52204927144,1071589.867188083,-739449.3451388115,-10781035.043856002,-792070785.5335523,-10288523.302922962,-755886489.6901169,-11751333.793119274,-9036592.463962069,0.0,inf,-58.471239412300235,281.8942761894759,0.11
