iso3,country,partner_count,strategic_partner_count,partner_notes,source_url
VNM,Viet Nam,3,3,"Diplomatic Academy of Vietnam; University of Social Sciences and Humanities, Vietnam National University; Hanoi University of Law",https://mgimo.ru/about/structure/int/docs/partner-universities/
KGZ,Kyrgyz Republic,3,2,"Diplomatic Academy of the Ministry of Foreign Affairs of the Kyrgyz Republic; Kyrgyz State Academy of Law; Kyrgyz-Russian Slavic University",https://mgimo.ru/about/structure/int/docs/partner-universities/
HUN,Hungary,3,1,"Corvinus University of Budapest; National University of Public Service; Eotvos Lorand University",https://mgimo.ru/about/structure/int/docs/partner-universities/
